ticker,company,sector,market_cap,revenue,net_income,total_debt,debt_to_equity,operating_margin,eps,eps_forward,return_on_equity
AAPL,Apple Inc.,Technology,3739225686016,435617005568,117776998400,90509000704,102.63,0.35374,7.89,9.31526,1.5202099
MSFT,Microsoft Corporation,Technology,2770195972096,305453006848,119262003200,123278000128,31.539,0.47094002,15.99,18.85049,0.34390998
NVDA,NVIDIA Corporation,Technology,4305144774656,215938007040,120066998272,11411999744,7.255,0.65024,4.9,11.11635,1.01485
GOOGL,Alphabet Inc.,Communication Services,3612527296512,402835996672,132169998336,66995998720,16.133,0.31568,10.81,13.42912,0.35705003
META,"Meta Platforms, Inc.",Communication Services,1483457822720,200965996544,60458000384,85080997888,39.164,0.41314998,23.51,35.88,0.30238
ORCL,Oracle Corporation,Technology,421498912768,64076001280,16188000256,162164998144,415.265,0.32676,5.58,7.9729,0.57572
IBM,International Business Machines Corporation,Technology,231059783680,67534999552,10570999808,64606998528,197.328,0.24768999,11.15,13.40365,0.35158002
TXN,Texas Instruments Incorporated,Technology,179115458560,17681999872,4973000192,14778999808,90.819,0.34027,5.46,7.9086,0.30148
QCOM,QUALCOMM Incorporated,Technology,138290479104,44866998272,5365000192,14817000448,64.218,0.27473,4.96,11.08936,0.2148
ADBE,Adobe Inc.,Technology,99104686080,24452999168,7208000000,6670000128,58.34,0.38762,17.16,26.35597,0.58774
JNJ,Johnson & Johnson,Healthcare,590220427264,94193000448,26804000768,49332998144,60.499,0.23966,11.02,12.56869,0.35029998
UNH,UnitedHealth Group Incorporated,Healthcare,248045109248,447567003648,12056000512,83003998208,81.618,0.00336,13.23,20.0279,0.12538
PFE,Pfizer Inc.,Healthcare,160952041472,62578999296,7745999872,67647000576,77.957,0.23945,1.36,2.82311,0.08886
ABBV,AbbVie Inc.,Healthcare,381168287744,61160001536,4185999872,68400001024,,0.34108,2.37,16.11592,62.25
MRK,"Merck & Co., Inc.",Healthcare,298318561280,65010999296,18254000128,50533998592,95.959,0.32773998,7.28,9.76508,0.36882
TMO,Thermo Fisher Scientific Inc.,Healthcare,184672256000,44556001280,6704000000,41358999552,77.255,0.21170999,17.74,26.90149,0.13024001
ABT,Abbott Laboratories,Healthcare,179433144320,44328001536,6499999744,14136000512,26.787,0.21616,3.72,6.104,0.12961
LLY,Eli Lilly and Company,Healthcare,857808306176,65179000832,20640000000,43865001984,165.31,0.44896,22.99,42.08527,1.01159
MDT,Medtronic plc,Healthcare,110619533312,35484000256,4613000192,28071000064,57.06,0.20007,3.58,6.06219,0.0939
CVS,CVS Health Corporation,Healthcare,92152602624,399833989120,1768000000,79949996032,106.06,0.01572,1.39,8.17353,0.022869999
JPM,JPMorgan Chase & Co.,Financial Services,801166983168,168235008000,55680999424,1025994981376,,0.41062,20.03,23.31829,0.16134001
BAC,Bank of America Corporation,Financial Services,354061615104,107421999104,29055000576,767072010240,,0.41627997,3.81,4.9669,0.10217
WFC,Wells Fargo & Company,Financial Services,250430193664,80041000960,20284999680,443507998720,,0.29938,6.26,7.92623,0.11732
GS,"The Goldman Sachs Group, Inc.",Financial Services,257106739200,59396001792,16243999744,747582980096,596.073,0.38319,51.35,65.18562,0.13861
MS,Morgan Stanley,Financial Services,265807790080,70296002560,16248999936,513408008192,455.747,0.38625,10.2,12.36102,0.15614
BLK,"BlackRock, Inc.",Financial Services,151429791744,24216000512,5552999936,14995999744,24.367,0.36744,35.29,61.69514,0.107159995
AXP,American Express Company,Financial Services,209307418624,66972999680,10700999680,63908999168,190.921,0.17459999,15.37,20.14455,0.33992
USB,U.S. Bancorp,Financial Services,82237112320,26353999872,7193999872,82744999936,,0.39334,4.62,5.57847,0.12184
PNC,"The PNC Financial Services Group, Inc.",Financial Services,85124243456,22320001024,6576000000,60758999040,,0.39262,16.58,20.64044,0.12158
C,Citigroup Inc.,Financial Services,202579886080,75716001792,13024000000,777180020736,,0.25656998,6.99,12.14,0.06831
